Rider_ID,Initial_Location,Dropoff_Location,status,systemjoin,pickup,dropoff
r161,"[18.29988907014997, 0.3681296722435268]","[17.407459402893643, 18.076782398863262]",Abandoned,5.755878517523469,,
r162,"[1.2475513671239535, 17.117400337320618]","[17.122421653731315, 14.893425910569336]",Abandoned,5.7642503455048315,,
r163,"[7.97725447559851, 17.975182322981034]","[19.291547681957915, 12.883177344660863]",Abandoned,5.765219160768314,,
r164,"[12.40307676025566, 7.488058946628799]","[2.9968663479412005, 1.3796798599746873]",Abandoned,5.773251305507358,,
r165,"[7.017646290719551, 17.046263236806944]","[12.094438889780035, 2.3769598391523794]",Abandoned,5.785151465879719,,
r166,"[2.157309912680103, 6.046923713714483]","[7.972603410518076, 2.0275168807996846]",Completed,5.794974642851097,,
r167,"[17.012248012065193, 4.595096705357649]","[8.749866251134595, 16.980501449513213]",Abandoned,5.841351537151714,,
r168,"[15.645716804975184, 12.777661914480802]","[4.023724952966525, 1.7182906097776796]",Abandoned,5.841854476507272,,
r169,"[16.218461091761082, 4.3636580663016495]","[10.559348476410829, 4.0213681325493456]",Abandoned,5.853090329805213,,
r170,"[15.695190862611614, 0.9550131139695139]","[19.307549396351188, 12.126359099777247]",Abandoned,5.871719313494686,,
r171,"[5.824865442238125, 19.318030659565444]","[14.868603517904994, 2.610558210794942]",Abandoned,5.902127725998014,,
r172,"[19.65023159435566, 16.751595850621992]","[2.5540366271589043, 13.647200576586755]",Completed,5.912008084687357,,
r173,"[3.572870249662612, 0.7086689239438582]","[16.906197994820253, 16.29729638299159]",Completed,5.953926415031175,,
r174,"[16.45099680378248, 16.03369375082191]","[7.8381105846313375, 5.182882713597228]",Abandoned,5.978837379761853,,
r175,"[9.467009285472736, 3.7871694715843796]","[4.637487900431072, 8.941807438146443]",Completed,5.981913478191831,,
r176,"[6.302333942943332, 19.39175443111264]","[10.63481959293088, 4.150526344679804]",Completed,5.988471835810033,,
r177,"[18.42577395447832, 4.285020353334435]","[6.099064387470836, 6.553394460786011]",Completed,5.991901587946271,,
r178,"[0.4830682934388242, 8.640866766293826]","[11.997061730440567, 1.2926497273264892]",Completed,6.014580352362296,,
r179,"[12.360962761285958, 1.6486763283261219]","[13.453725846670888, 10.089325239774713]",Completed,6.046779941253493,,
r180,"[15.138194575561101, 7.539225750184075]","[16.165103865649836, 19.19131234348038]",Abandoned,6.126434182891469,,
r181,"[11.29045439025283, 5.249419927561643]","[9.287915472655627, 5.527133894631742]",Abandoned,6.141551950290443,,
r182,"[4.547286790604767, 1.0332622993183294]","[2.6070085653720776, 14.902669439454694]",Completed,6.159685482027067,,
r183,"[2.921994749155621, 3.657475766020255]","[11.885015060274974, 12.350479849502356]",Abandoned,6.1643802915829795,,
r184,"[17.146398420696606, 9.097399384570258]","[1.6442797092484196, 16.027307160413386]",Abandoned,6.285086284927821,,
r185,"[19.888350262700975, 1.7775505960715177]","[2.61435499460577, 19.050771736229482]",Abandoned,6.288575950732618,,
r186,"[6.541992734191046, 5.785270220123683]","[12.262104542714937, 11.857580149878835]",Abandoned,6.3021253472673315,,
